Array size;Bubble sorting time;Selection sorting time;Insertion sorting time;Quick sorting time;Selection sorting time
2;0.000374;0.000431;0.000201;0.000421;0.000568
3;0.000311;0.000354;0.000341;0.000531;0.000768
4;0.000561;0.000401;0.000331;0.000648;0.000878
5;0.000471;0.000548;0.000398;0.000792;0.001136
6;0.000738;0.000756;0.000394;0.001076;0.00128
7;0.001083;0.001002;0.000491;0.001156;0.001627
8;0.001233;0.001092;0.000669;0.001333;0.001838
9;0.001276;0.001179;0.000601;0.001544;0.001848
10;0.001727;0.00138;0.000725;0.001661;0.002168
15;0.002967;0.002138;0.001126;0.003004;0.003645
20;0.005212;0.003585;0.00137;0.003461;0.003982
25;0.00601;0.004798;0.001684;0.003745;0.004982
30;0.008253;0.006184;0.002796;0.00456;0.005927
35;0.011332;0.007711;0.003518;0.005192;0.00717
40;0.015008;0.009866;0.004637;0.00616;0.009916
45;0.017637;0.01211;0.005881;0.008015;0.010053
50;0.023324;0.015211;0.006418;0.010036;0.011292
55;0.026718;0.01633;0.007097;0.009111;0.01293
60;0.03363;0.018509;0.008563;0.0105;0.013604
65;0.037639;0.021977;0.009619;0.011519;0.013912
70;0.043062;0.026166;0.011797;0.013935;0.016291
75;0.049971;0.02757;0.012605;0.015986;0.018004
80;0.053519;0.031883;0.01317;0.01474;0.018586
85;0.06407;0.034398;0.014116;0.014904;0.018626
90;0.065312;0.03818;0.016614;0.015833;0.020864
95;0.075607;0.04211;0.018773;0.018285;0.020567
100;0.079986;0.046777;0.020788;0.020322;0.022267
110;0.090129;0.054635;0.025331;0.020677;0.025177
120;0.111398;0.064591;0.029337;0.024967;0.028475
130;0.133168;0.0744;0.033216;0.046556;0.027572
140;0.139636;0.078141;0.037343;0.025937;0.030083
150;0.157811;0.086598;0.039032;0.027084;0.032331
160;0.180045;0.09825;0.046157;0.031727;0.033785
170;0.198508;0.108898;0.050252;0.031658;0.037311
180;0.22339;0.124192;0.057669;0.033327;0.039213
190;0.258238;0.135529;0.064565;0.036603;0.041343
200;0.277291;0.149241;0.066214;0.038348;0.044018
210;0.318622;0.075308;0.035633;0.019625;0.022035
220;0.153353;0.082378;0.039018;0.019511;0.022987
230;0.179675;0.093632;0.050888;0.024922;0.031031
240;0.212523;0.102872;0.04833;0.024904;0.032092
250;0.242421;0.086283;0.05324;0.022052;0.027531
260;0.205254;0.099624;0.057908;0.032481;0.029204
270;0.235858;0.106779;0.058503;0.033191;0.029157
280;0.239832;0.106551;0.048555;0.024596;0.031024
290;0.226429;0.106873;0.051705;0.023282;0.025634
300;0.225225;0.114487;0.054373;0.021706;0.025893
310;0.240196;0.128738;0.076798;0.043105;0.03629
320;0.261755;0.136138;0.077672;0.024671;0.027431
330;0.276225;0.137349;0.060548;0.02371;0.02893
340;0.291222;0.161411;0.077987;0.045269;0.048238
350;0.309954;0.169712;0.088198;0.036518;0.039826
360;0.329287;0.164985;0.075982;0.027956;0.030989
370;0.352654;0.170434;0.078836;0.028801;0.032216
380;0.375045;0.180131;0.084383;0.029058;0.032305
390;0.379616;0.18854;0.089781;0.029449;0.033631
400;0.424289;0.21202;0.102267;0.04175;0.054022
410;0.434896;0.236104;0.104022;0.041205;0.045259
420;0.454671;0.253339;0.121079;0.053704;0.046869
430;0.473775;0.231068;0.126314;0.053324;0.038464
440;0.491653;0.237508;0.116769;0.04469;0.058287
450;0.526805;0.276197;0.139702;0.060571;0.065899
460;0.568441;0.278346;0.169277;0.064738;0.071107
470;0.589175;0.284345;0.149683;0.057772;0.062444
480;0.603854;0.28406;0.144321;0.038486;0.046561
490;0.627754;0.307586;0.159988;0.058392;0.065614
500;0.644061;0.320658;0.160028;0.061298;0.066517
510;0.677393;0.330198;0.155491;0.062131;0.055001
520;0.704406;0.341259;0.176174;0.063728;0.066598
530;0.741262;0.352131;0.173041;0.0633;0.06892
540;0.762801;0.366595;0.186305;0.063281;0.069367
550;0.792294;0.377548;0.192668;0.065046;0.070561
560;0.826063;0.378987;0.194573;0.066393;0.071392
570;0.850278;0.402399;0.2047;0.06701;0.074866
580;1.06696;0.441952;0.214047;0.076172;0.084531
590;0.957889;0.452954;0.217537;0.06467;0.073072
600;0.930383;0.440946;0.223158;0.070662;0.076569
610;0.974181;0.45964;0.224114;0.069297;0.077306
